iso,Development,Health Care,Population Spread,Mortality
566,0.377,0.3,16.425,0.05374744927319002
566,0.377,0.3,50.344,0.05374744927319002
566,0.534,0.3,16.425,0.05374744927319002
566,0.534,0.3,50.344,0.05374744927319002
140,0.381,1.0,41.364,0.05978583163792803
148,0.401,,23.059,0.05351280112312865
728,0.413,,19.615,0.0732495954434745
108,0.423,0.8,13.032,0.05146303320293511
466,0.4270000000000001,0.1,42.356,0.051612129185733935
854,0.434,0.4,29.358,0.050237455405345965
232,0.434,0.7,35.771,0.0952171592249156
694,0.438,,42.055,0.06320374284208775
508,0.446,0.7,35.988,0.060017762571172015
178,0.459,,44.46,0.058181438055140935
178,0.459,,66.916,0.058181438055140935
178,0.609,,44.46,0.058181438055140935
178,0.609,,66.916,0.058181438055140935
624,0.461,1.0,43.36,0.05695318743765995
887,0.463,0.7,36.642,0.06207243078834102
430,0.465,0.8,51.151,0.06992779866382412
270,0.466,1.1,61.27,0.05233592722396766
324,0.466,0.3,36.14,0.05956046556150164
231,0.47,0.3,20.763,0.07743609482142044
454,0.485,1.3,16.937,0.055706877241562335
262,0.495,1.4,77.777,0.1013184662017735
004,0.496,0.5,25.495,0.054471160677462924
332,0.503,0.7,55.278,0.11766260433758832
729,0.508,0.8,34.642,0.07977334692071986
768,0.513,0.7,41.702,0.05831313221795765
686,0.514,,47.192,0.06512545230189733
384,0.516,,50.779,0.0581303467797435
426,0.518,,28.153,0.1123551520820678
204,0.52,0.5,47.312,0.07194044038081034
450,0.521,0.2,37.191,0.06883127441247469
478,0.527,,53.672,0.06998436947944152
834,0.528,0.7,33.776,0.05458229377747725
800,0.528,0.5,23.774,0.04262727246585788
646,0.536,,17.211,0.06823522927494051
174,0.5379999999999999,2.2,28.965,0.06757480922938425
598,0.5429999999999999,,13.169,0.07210592734670075
760,0.5489999999999999,1.5,54.162,0.11277179590644057
090,0.557,1.4,23.749,0.0844623354597721
586,0.56,0.6,36.666,0.09773776097305556
716,0.563,1.7,32.209,0.06704588831278363
120,0.563,1.3,56.374,0.056738188294988785
024,0.574,,65.514,0.049087427898163664
524,0.579,0.3,19.74,0.12191998084919163
404,0.579,1.4,27.03,0.052874613741816366
116,0.581,0.8,23.388,0.10039099442442204
104,0.584,0.9,30.579,0.12860811631741906
226,0.588,2.1,72.143,0.05241064261914982
894,0.591,2.0,43.521,0.04676988056794473
288,0.596,0.9,56.06,0.0660355319562607
548,0.597,,25.274,0.0767010424100146
418,0.604,,,0.09144960119707828
748,0.608,2.1,23.799,0.08695689175382991
678,0.609,2.9,72.803,0.07091042929950522
050,0.614,0.8,36.632,0.13339305851110042
583,0.614,3.2,22.703000000000007,0.08267046243333244
064,0.617,1.7,40.895,0.15571107584527707
340,0.623,0.7,57.096,0.12890576613407148
296,0.623,1.9,54.057,0.09001872321610775
626,0.626,5.9,30.578000000000007,0.09074062170612296
516,0.645,2.7,50.032,0.08517144112463941
356,0.647,0.7,34.03,0.14096691606952955
320,0.6509999999999999,0.6,51.054,0.12786424461745988
132,0.6509999999999999,2.1,65.732,0.135578049082075
558,0.6509999999999999,0.9,58.522,0.14238149694248048
762,0.6559999999999999,4.8,27.134,0.07501807140696895
222,0.667,1.3,72.023,0.21539490667926955
328,0.67,1.6,26.606,0.16222110312669666
417,0.674,4.5,36.351,0.11425201161934713
504,0.6759999999999999,1.1,62.453,0.1617144515842748
368,0.6890000000000001,1.4,70.473,0.0757787437571528
275,0.69,,,0.07004474184279108
704,0.693,2.6,35.91900000000001,0.2256348047632839
584,0.698,2.7,77.031,
818,0.7,1.6,42.70399999999999,0.1157685578989337
266,0.7020000000000001,6.3,89.37,0.07941664925263903
068,0.703,1.1,69.425,0.19509476855974772
710,0.705,,66.355,0.1150456208685274
882,0.7070000000000001,,18.243,0.11174700775775903
360,0.7070000000000001,1.2,55.325,0.1346056897240607
434,0.708,3.7,80.102,0.10861171593517503
860,0.71,4.0,50.478,0.11405182741406868
795,0.71,7.4,51.593,0.1123445638860644
498,0.711,5.8,42.629,0.2833230563075619
608,0.7120000000000001,1.0,46.907,0.11957122761382613
776,0.7170000000000001,2.6,23.131,0.14143713216647366
462,0.7190000000000001,4.3,39.808,0.1004656261535796
084,0.72,1.3,45.724,0.13149590111438453
400,0.723,1.4,90.979,0.09110140167538187
242,0.7240000000000001,2.3,56.24800000000001,0.11483570180514745
740,0.7240000000000001,3.1,66.06,0.1720097718637065
212,0.7240000000000001,3.8,70.483,
600,0.7240000000000001,1.3,61.585,0.1576727363886212
388,0.726,1.7,55.674,0.2365194856248194
862,0.726,0.8,88.208,0.18656836918780687
072,0.728,1.8,69.446,0.0919580505638316
670,0.728,,,0.2622501989293982
422,0.73,2.9,88.59299999999998,0.17916953624629287
496,0.735,7.0,68.445,0.10178795293017476
788,0.7390000000000001,2.3,68.945,0.2102843260278421
214,0.745,1.6,81.074,0.1942834639341605
662,0.745,,,0.2707688436163113
804,0.75,8.8,69.352,0.4095548631878474
031,0.754,4.7,55.68,0.161213968264837
156,0.758,4.2,59.152,0.2504523527262995
156,0.758,4.2,100.0,0.2504523527262995
