Country,Development,Demography,Health Care,Urbanisation
Afghanistan,0.6213478805992831,0.7606938475467906,0.9048185603807256,0.649819582351868
Albania,0.06935069211382845,0.058130153179904234,0.43367043426531815,0.069885709504815
Algeria,0.10258228745836555,0.2976839081810352,0.6091612135633551,0.005307580372351995
Antigua and Barbuda,0.08412064183584313,0.11505307759321161,0.3011600237953599,0.6724867482862193
Argentina,0.03761667152138403,0.155312618105822,0.16195716835217133,0.05129224333181413
Armenia,0.10144565038436697,0.0865849673443065,0.25,0.04854659496663826
Australia,3.1661199832835936e-06,0.04620421526073071,0.3011600237953599,0.01831836756505163
Austria,0.001978824989551807,0.006049032306307739,0.007287328970850704,0.08750662283166093
Azerbaijan,0.10836045642785681,0.16395383639889383,0.19274241522903035,0.11325088704559118
Bahamas,0.0568508504198275,0.1516332986066278,0.43367043426531815,0.00789908363146767
Bahrain,0.03229758994946876,0.4580906166596136,0.5902736466389054,0.03470558010051703
Bangladesh,0.3344214232342549,0.3019604836053349,0.8365556216537775,0.40050703808671523
Barbados,0.05026532085459919,0.02837009878506026,0.09295062462819752,0.5157912181905624
Belarus,0.04712452983118246,0.03558613756342102,0.10841760856632948,0.0003983837144508959
Belgium,0.0012664479933131563,0.01532964969409542,0.06558596073765616,0.10359224930482659
Belize,0.15185028051823057,0.36765216721119004,0.7287328970850685,0.2414863139601207
Benin,0.5558471903851266,0.702742667003732,0.9048185603807256,0.2178164989899122
Bhutan,0.3282759843467028,0.3171247316970453,0.6478286734086852,0.3209642012775468
Bolivia,0.17634021858892374,0.3393213632020461,0.7709696609161214,0.015054694448951361
Bosnia and Herzegovina,0.0915008675168754,0.018075586346177442,0.3426531826293873,0.20447898704872775
Botswana,0.14095882777573743,0.44198666488587657,0.6283462224866151,0.014974631638417635
Brazil,0.10031534555033512,0.13245222935685244,0.5533908387864366,0.020739046782724476
Brunei Darussalam,0.027975836172287622,0.1978886342157378,0.46638905413444376,2.4320180185551478e-05
Bulgaria,0.047900229227086845,0.02189947710845229,0.03346222486615113,0.001284733987002262
Burkina Faso,0.8074397487367182,0.8075807742554019,0.9281677572873286,0.5565419965699223
Burundi,0.8429984422689679,0.8444780644452904,0.8365556216537775,1.0
Cabo Verde,0.2626106558934159,0.32717118868398454,0.5716835217132659,0.032453787083500954
Cambodia,0.40578260153746787,0.3851458832056182,0.8365556216537775,0.7037403681544142
Cameroon,0.44761337875660145,0.7249685760884055,0.7287328970850685,0.10610079908644857
Canada,0.0009150086751687554,0.019557711498852607,0.46638905413444376,0.004066343856161348
Central African Republic,0.9858157824748925,0.8029360762410876,0.792534205829863,0.3127502963272458
Chile,0.026798039538506388,0.08336444998886051,0.5533908387864366,0.02543697474761357
China,0.10372525677233066,0.06464530308215925,0.25,0.07981416089920841
Colombia,0.10031534555033512,0.1662115084209724,0.6876859012492563,0.002907403979710744
Comoros,0.5091152594318715,0.6078256326232163,0.5533908387864366,0.5657014932821518
Costa Rica,0.06656767264852267,0.12058128920992722,0.7497025580011897,0.000995369124424147
Croatia,0.03294031230607512,0.008681441200425903,0.10841760856632959,0.10037304342699506
Cuba,0.0820689960866757,0.029281393705620374,0.14292088042831647,1.8302636373458658e-05
Cyprus,0.013791618647180271,0.06308974237098876,0.3570791195716835,0.026692686864290414
Czech Republic,0.007294740441483815,0.038388067974744,0.0481856038072576,0.002998703943427336
Denmark,0.00025645571864591415,0.022534156162913866,0.5002974419988102,0.026998559313271997
Djibouti,0.6241562290244551,0.3465052897392388,0.7080606781677571,5.233041388232718e-05
Dominican Republic,0.11916009169083472,0.2528828126045124,0.6676085663295658,0.003425199297256209
Ecuador,0.10372525677233066,0.2587208191541636,0.6876859012492563,0.04404905019421481
Egypt,0.18085193956510184,0.3966885948691333,0.6676085663295658,0.2898686634276224
El Salvador,0.234242220843201,0.2602149667092246,0.7287328970850685,0.006770104898489769
Equatorial Guinea,0.3900691480604349,0.6294446277469836,0.5716835217132659,0.006466381572298223
Eritrea,0.8074397487367182,0.658616551437877,0.85901249256395,0.4176400678677486
Estonia,0.010286723825686113,0.021627621330534412,0.16195716835217133,0.01720717040297795
Eswatini,0.34688327148845627,0.6102141892962942,0.5716835217132659,0.6930536597721773
Ethiopia,0.696422917642887,0.6834909098112074,0.9518143961927421,0.7739236575920758
Fiji,0.14635389622725134,0.2619831172809232,0.5353955978584175,0.10738162108912885
Finland,0.0006205595167234467,0.019801389840358705,0.22620464009518143,0.015761419683409064
France,0.007294740441483815,0.0222202283949715,0.0481856038072576,0.002374060436430698
Gabon,0.1778377933410164,0.5371755225031171,0.059488399762046444,0.035188343506493275
Gambia,0.7083528577398968,0.8008845558867587,0.7709696609161214,0.06228239260484905
Georgia,0.0741157026886692,0.04277031011705869,0.4831945270672219,0.08445045768570839
Germany,0.0,0.0,0.0,0.0
Ghana,0.3724908499132483,0.53830234579106,0.8143961927424151,0.10930697566534704
Greece,0.014212712604956896,0.0141894094134039,0.23795359904818564,0.0007377967580385981
Grenada,0.09807373260217071,0.1453139204233042,0.3146936347412254,0.4076270238056975
Guatemala,0.2626106558934159,0.4897319165879091,0.8817668054729325,0.16686742022785347
Guinea,0.7083528577398968,0.7857421625463067,0.9518143961927421,0.41025340287455797
Guyana,0.2291036081103329,0.2729853750083832,0.6676085663295658,0.6222529554310654
Haiti,0.6018667443421435,0.42423062350923635,0.85901249256395,0.11749921198831029
Honduras,0.3161560770506959,0.42112179147907886,0.85901249256395,0.09890966288201615
Hungary,0.027975836172287622,0.0318274136994925,0.025133848899464628,0.008599763490005023
Iceland,3.1661199832835936e-06,0.05205199017952506,0.38682331945270665,0.06589747779142967
India,0.269956054254632,0.2545029875489754,0.85901249256395,0.45338057111679636
